Epoch,Train Loss,Val Loss,MSE,MAE,R²,Learning Rate
374,0.050597,0.050388,0.050388,0.153435,0.760443,0.000000018311
375,0.050542,0.050212,0.050212,0.154386,0.761565,0.000000018311
376,0.050584,0.050560,0.050560,0.153848,0.759644,0.000000018311
377,0.050489,0.050369,0.050369,0.152884,0.760432,0.000000018311
378,0.050592,0.050366,0.050366,0.152889,0.760483,0.000000018311
379,0.050542,0.050071,0.050071,0.152952,0.761941,0.000000018311
380,0.050650,0.050280,0.050280,0.153842,0.761039,0.000000018311
381,0.050651,0.050198,0.050198,0.152801,0.761314,0.000000018311
382,0.050677,0.050291,0.050291,0.153848,0.761005,0.000000018311
383,0.050638,0.050206,0.050206,0.153200,0.761404,0.000000018311
384,0.050416,0.050097,0.050097,0.152827,0.761816,0.000000018311
385,0.050581,0.050505,0.050505,0.153531,0.759823,0.000000018311
386,0.050571,0.050387,0.050387,0.153177,0.760399,0.000000018311
387,0.050696,0.050674,0.050674,0.153934,0.759089,0.000000018311
388,0.050566,0.050411,0.050411,0.153393,0.760334,0.000000018311
389,0.050535,0.050168,0.050168,0.152735,0.761420,0.000000018311
390,0.050522,0.050104,0.050104,0.153157,0.761826,0.000000018311
391,0.050500,0.050275,0.050275,0.153595,0.761062,0.000000018311
392,0.050504,0.050149,0.050149,0.152447,0.761445,0.000000018311
393,0.050548,0.050281,0.050281,0.152995,0.760919,0.000000018311
394,0.050480,0.050116,0.050116,0.153472,0.761831,0.000000018311
395,0.050588,0.050213,0.050213,0.153386,0.761281,0.000000018311
396,0.050475,0.050516,0.050516,0.154099,0.759920,0.000000018311
397,0.050475,0.050396,0.050396,0.153962,0.760482,0.000000018311
398,0.050532,0.050346,0.050346,0.153874,0.760723,0.000000018311
399,0.050537,0.050349,0.050349,0.153888,0.760756,0.000000018311
400,0.050587,0.050392,0.050392,0.153155,0.760345,0.000000018311
401,0.050629,0.050311,0.050311,0.153653,0.761117,0.000000018311
402,0.050625,0.050111,0.050111,0.152943,0.762017,0.000000018311
403,0.050636,0.050209,0.050209,0.153294,0.761565,0.000000018311
404,0.050536,0.049912,0.049912,0.152516,0.762929,0.000000018311
405,0.050632,0.050282,0.050282,0.153188,0.761141,0.000000018311
406,0.050627,0.050049,0.050049,0.152513,0.762234,0.000000018311
